Date,Ret1,Ret2,Ret3,Ret4
2003-12-17,10042.160156,10022.820313,10129.55957,10145.259766
2003-12-18,10022.820313,10129.55957,10145.259766,10248.080078
2003-12-19,10129.55957,10145.259766,10248.080078,10278.219727
2003-12-22,10145.259766,10248.080078,10278.219727,10338
2003-12-23,10248.080078,10278.219727,10338,10341.259766
2003-12-24,10278.219727,10338,10341.259766,10305.19043
2003-12-26,10338,10341.259766,10305.19043,10324.669922
2003-12-29,10341.259766,10305.19043,10324.669922,10450
2003-12-30,10305.19043,10324.669922,10450,10425.040039
2003-12-31,10324.669922,10450,10425.040039,10453.919922
2004-01-02,10450,10425.040039,10453.919922,10409.849609
2004-01-05,10425.040039,10453.919922,10409.849609,10544.070313
2004-01-06,10453.919922,10409.849609,10544.070313,10538.660156
2004-01-07,10409.849609,10544.070313,10538.660156,10529.030273
2004-01-08,10544.070313,10538.660156,10529.030273,10592.44043
2004-01-09,10538.660156,10529.030273,10592.44043,10458.889648
2004-01-12,10529.030273,10592.44043,10458.889648,10485.179688
2004-01-13,10592.44043,10458.889648,10485.179688,10427.179688
2004-01-14,10458.889648,10485.179688,10427.179688,10538.370117
2004-01-15,10485.179688,10427.179688,10538.370117,10553.849609
2004-01-16,10427.179688,10538.370117,10553.849609,10600.509766
2004-01-20,10538.370117,10553.849609,10600.509766,10528.660156
2004-01-21,10553.849609,10600.509766,10528.660156,10623.620117
2004-01-22,10600.509766,10528.660156,10623.620117,10623.179688
2004-01-23,10528.660156,10623.620117,10623.179688,10568.290039
2004-01-26,10623.620117,10623.179688,10568.290039,10702.509766
2004-01-27,10623.179688,10568.290039,10702.509766,10609.919922
2004-01-28,10568.290039,10702.509766,10609.919922,10468.370117
2004-01-29,10702.509766,10609.919922,10468.370117,10510.290039
2004-01-30,10609.919922,10468.370117,10510.290039,10488.070313
2004-02-02,10468.370117,10510.290039,10488.070313,10499.179688
2004-02-03,10510.290039,10488.070313,10499.179688,10505.179688
