"Week","investment","growth","derivatives","crisis","unemployment","banking","dow","economy","stocks","economics","hedge","invest","profit","leverage","risk","revenue","nasdaq","metals","politics","consumption","cash","dividend","finance","portfolio","conflict","oil","fed","gain","short","energy","credit","loss","earnings","stock","transaction","housing","nyse","success","bubble","trader","environment","greed","opportunity","inflation","money","sell","returns","society","chance","present","world","rich","war","return","markets","crash","freedom","office","headlines","house","culture","arts","buy","ore","food","bonds","tourism","holiday","health","train","fine","gold","marriage","water","cancer","car","debt","travel","happy","forex","restaurant","default","ring","lifestyle","labor","fond","religion","financial","rare","home","kitchen","garden","fun","movie","consume","gains","logret"
2015-03-01,0,2,-4,-4,-1,3,2,0,0,-5,2,0,-2,-4,-2,-2,3,2,-1,-2,-1,8,2,1,-1,-6,-1,2,1,-1,2,2,-8,0,10,-3,0,2,1,3,-2,11,-1,-3,4,0,-1,-5,-5,-3,1,-1,2,0,0,10,0,2,-2,3,0,2,-1,5,1,-4,9,1,1,1,2,-34,1,0,2,4,-2,4,4,-2,1,3,1,1,0,4,-3,1,4,1,1,4,5,-5,-14,-1,-0.00603655592722951
2015-03-08,2,-4,-6,2,1,-2,1,-3,-3,-5,-1,-5,-5,-2,3,1,-12,4,1,5,-2,-7,0,-2,-2,4,2,0,-2,-1,1,-1,-5,2,-11,1,0,-3,2,1,0,-13,2,3,-2,3,-4,2,-1,-3,0,2,-4,-2,2,-1,-2,-4,1,-4,-1,-2,1,-5,-2,2,-1,0,-3,3,-3,-12,-1,0,0,0,0,-3,-2,10,4,0,-2,2,1,1,-5,0,0,3,0,4,2,-1,11,0,0.0210917457748607
2015-03-15,0,0,-17,1,-1,-3,0,-2,-1,1,3,5,2,7,-4,-6,1,-2,0,-4,0,2,-2,2,-3,3,4,-2,4,-2,-1,1,-3,-1,2,2,0,-2,-3,-1,0,-5,0,-10,2,0,-1,-1,0,-2,-1,-2,1,-3,-4,-8,2,-1,1,-4,-1,0,1,2,0,-6,-3,0,3,-1,2,-3,1,1,-3,-1,0,-2,2,-3,-4,0,-1,-3,-1,1,4,8,0,1,3,3,0,3,-6,2,-0.023158771567438
2015-03-22,-3,-1,9,6,-1,1,0,2,-1,0,-2,-5,0,-12,0,-1,-3,-2,0,-5,2,-1,1,-2,4,-4,-5,-1,-24,-1,0,3,-1,-1,4,2,1,3,3,1,1,5,4,4,0,1,3,2,1,1,1,0,3,0,6,44,17,5,3,-1,1,1,-3,-7,3,6,2,1,-1,-3,-2,-3,-1,2,2,0,-1,2,-3,0,-1,-4,2,-1,0,10,5,-8,90,2,-4,1,1,0,5,-3,0.00285151957903018
2015-03-29,1,1,-7,-3,1,6,-1,-9,-3,-4,8,2,-1,5,2,3,-3,-5,-1,7,0,-9,-4,-1,-6,3,-1,0,14,-4,5,-4,0,3,2,5,1,-3,-6,-2,-7,-1,-5,-7,-1,2,-1,-6,0,-1,-3,0,-5,1,1,-34,28,-1,-4,-1,-2,-1,3,11,-2,-8,-7,4,-1,0,0,1,0,1,6,0,1,-4,5,-4,0,5,-1,-2,0,-11,8,-4,-90,1,0,-1,-1,-1,-7,4,0.0164382728280099
2015-04-05,0,1,5,4,-1,-10,-1,6,0,1,-5,2,3,1,0,6,2,-1,1,3,2,8,1,1,4,-3,0,1,2,3,-3,7,9,-4,-2,-2,-2,2,4,1,4,-6,-2,5,0,-2,4,3,0,0,0,2,2,4,-2,-5,-42,0,-2,1,1,1,-2,1,0,8,7,0,3,0,2,0,0,-2,-3,1,0,0,7,-2,-1,-1,2,1,1,3,-5,8,-3,0,-2,3,-3,3,5,4,-0.0128945006299954
2015-04-12,5,5,4,5,1,-1,0,8,6,9,7,0,3,0,9,22,2,2,0,4,-1,-1,6,6,9,2,4,3,16,4,4,-8,19,2,-1,3,-1,6,3,-3,10,7,6,12,4,-3,11,2,-1,6,0,-4,5,11,2,-3,-1,5,2,-2,3,-1,-2,0,0,5,-1,-6,1,0,1,-1,0,3,1,-5,3,-1,-14,2,-3,1,-1,0,0,0,-4,4,6,0,2,3,0,-5,6,5,0.0141391941362272
2015-04-19,-3,5,1,3,-2,-2,0,0,0,3,-1,2,2,-1,-2,-35,8,3,-1,5,1,-3,-3,1,2,-3,-1,-5,-6,0,-7,-1,12,0,-1,0,0,-6,-2,0,5,7,-4,0,-3,6,-17,3,-1,2,1,-2,0,-25,0,-1,-1,-10,0,7,1,1,1,-8,1,-1,6,1,-2,1,-2,2,1,0,1,1,0,4,4,2,4,0,1,-2,0,0,-1,0,0,0,1,1,5,-1,7,-16,-0.00310657049766583
2015-04-26,-2,-4,1,0,0,6,-1,1,-6,-3,-1,-3,-2,3,1,-2,1,0,1,-7,1,1,2,0,1,0,0,2,-30,2,2,-2,0,-1,3,-1,1,4,0,-1,-6,-7,-2,4,2,-5,-4,-3,0,-1,0,5,5,-3,1,-1,3,4,3,-4,-1,0,0,2,-1,-1,-8,-1,-1,0,1,-2,6,0,-3,0,-2,-5,-1,-3,-2,-3,1,-1,2,0,0,0,-3,-2,-2,1,-2,-1,-11,-4,0.00922541648311359
2015-05-03,-1,-5,9,-4,-1,2,0,-2,-3,0,7,-3,-3,-6,-7,-7,-7,-2,0,-5,-1,-6,-3,-3,-4,-1,-1,0,-6,-3,1,5,-13,0,-2,-2,-1,-3,5,1,0,-12,6,-9,5,5,-1,0,8,2,-1,-1,1,2,0,9,1,0,2,0,1,-2,1,1,1,3,4,1,-1,2,-1,-1,-6,3,0,-1,0,5,8,5,9,2,3,3,-1,0,-1,-4,-3,2,-2,5,1,1,-2,-2,0.00446753207490147
2015-05-10,-4,2,-21,-1,0,2,2,2,0,-3,-7,0,-2,-3,-8,-3,0,-2,-1,-6,-1,-6,-1,-5,-2,-2,-1,-1,7,-3,0,-4,-20,-2,-2,-3,-1,-3,-4,0,-4,12,-5,2,-8,-1,-3,-5,-4,-6,1,1,-2,-1,-4,9,-4,-3,-2,0,-2,3,-1,1,0,-6,3,1,-2,20,0,1,-1,1,2,6,-3,1,20,-1,-6,-1,-6,-2,-1,1,-4,-3,7,0,-1,-3,4,0,-8,2,-0.00222114773438342
2015-05-17,-4,-8,-8,-6,-1,-2,-2,-8,-2,-13,3,-3,-2,-2,-1,-1,-5,-1,-3,-5,-1,-11,-3,-5,-9,7,0,3,-10,-5,1,-2,-5,0,1,-2,1,1,5,0,-5,-13,-9,-12,0,-1,9,-1,-1,-2,1,6,-3,0,4,-15,2,1,3,9,-3,-1,3,-1,2,-8,-4,2,0,-19,0,-1,4,2,-1,3,0,2,-24,12,-1,0,-1,1,1,-1,-2,-3,0,-1,0,-5,4,4,2,-6,-0.0122144652373475
2015-05-24,-8,-3,-7,-8,0,-3,-2,-8,-4,-12,2,-1,-13,-1,-8,-4,-6,-4,-1,-5,2,-3,-5,-5,-9,-6,-5,-5,-4,-5,-3,1,-6,-1,-4,-5,-2,-3,-2,5,-10,2,-5,-6,0,2,16,-3,6,-6,0,3,-2,0,0,2,-2,-3,-7,-5,-3,-2,2,7,0,-2,0,3,-5,1,1,0,0,11,-2,2,-2,-1,-1,-7,2,-3,2,-3,-1,8,-2,0,-10,8,2,2,-1,4,-4,-1,-0.008991589736004
2015-05-31,12,-3,3,1,1,5,3,-6,2,4,2,1,8,2,6,2,3,1,0,0,0,5,7,4,0,0,5,1,6,4,2,4,-1,0,9,8,0,1,-3,-2,6,-2,8,-5,1,0,-12,1,-6,1,1,-4,-9,-2,-1,-2,4,7,-5,-4,0,4,-2,-4,-2,3,1,-4,7,0,0,-1,-3,-8,5,-5,3,-1,-1,-9,-1,5,-1,3,0,-7,-5,-7,3,-9,3,-4,-1,1,-6,12,0.00276258934407458
2015-06-07,-3,3,2,-1,0,2,0,-5,-2,-5,-5,0,-1,2,-2,1,5,-2,1,2,0,0,-3,-2,-8,2,1,0,-19,-5,2,-3,2,0,-1,2,1,-3,0,0,-3,-5,-5,-3,0,2,-5,0,-3,-3,12,-5,-5,1,2,-2,-5,1,9,0,-2,-1,1,1,0,2,-2,1,2,2,0,0,0,7,0,3,-1,2,-2,4,0,2,1,-3,1,6,-8,7,0,4,1,0,5,1,2,37,0.00652153573023107
2015-06-14,-1,-8,-11,-6,-1,-5,1,-2,-1,-10,6,2,1,-3,-1,-2,-2,-1,-1,-11,-1,-5,0,3,-6,-3,0,-1,29,-3,2,2,0,-1,5,-4,0,-3,-8,1,1,5,-1,0,3,0,0,-2,-1,-3,0,0,-1,-1,1,-2,-4,-1,-9,-1,-2,-5,1,3,1,-8,-6,0,-3,2,-1,-1,1,-5,-7,-1,0,0,1,-10,3,0,3,-2,-1,-7,0,-1,-3,-1,0,-2,-8,3,-4,-31,-0.00385231106681161
2015-06-21,1,0,5,1,1,-3,0,-5,2,-2,-3,-1,-1,2,0,1,-1,-2,-1,12,2,1,4,-10,-2,2,-1,-1,-13,-3,-3,-4,2,1,-7,1,2,0,5,1,-18,-5,-4,1,-2,1,-5,-3,1,-3,-6,0,2,-1,-1,5,5,-1,3,5,0,-1,1,-3,1,0,2,3,-1,-2,1,3,75,10,0,4,1,0,11,5,3,3,-3,4,1,5,3,-5,7,2,2,1,-4,2,9,-6,-0.0121408332354882
2015-06-28,-11,-1,-4,28,3,8,8,11,4,-4,1,-3,-5,1,-2,-7,5,-3,0,-5,2,-3,0,-2,-5,6,0,1,10,-2,6,2,-2,11,-6,-6,5,-4,3,0,-8,-1,-8,-2,8,6,0,-2,-1,-4,-1,0,-1,0,11,1,23,0,1,3,-1,-1,3,6,0,-1,3,11,-3,1,-1,1,-36,-4,-1,0,15,1,-5,4,-4,6,1,0,1,0,3,18,12,3,1,0,3,-4,-18,6,0.00170754267690398
2015-07-05,9,3,-2,-6,1,-7,3,2,6,4,5,6,4,3,5,6,13,8,0,4,0,3,7,5,2,-1,-1,-2,20,7,3,3,6,17,12,14,82,4,-3,1,3,15,11,-1,-1,-2,0,2,0,1,0,-3,-1,0,5,15,-22,2,0,-2,0,2,-2,-4,1,0,-5,-10,7,-3,1,10,-33,-3,1,-1,-3,1,-9,-2,2,-9,0,-2,3,-1,-7,2,-16,-4,-1,0,-1,2,1,38,0.0181911642840582
2015-07-12,4,14,4,-13,-2,2,-8,-4,-5,1,-4,-1,3,-4,1,3,-14,-1,1,1,0,5,-4,2,0,0,3,0,-30,8,-4,-3,24,-24,-6,-5,-86,0,1,-1,3,-10,1,0,-4,-2,7,-1,0,-2,-7,0,-1,0,-15,-15,-7,6,1,1,0,-1,1,-4,0,0,-1,-2,-1,2,1,5,-6,-3,5,3,-5,-2,0,7,4,0,28,1,1,5,2,-13,0,3,3,-3,1,4,10,-43,-0.0290538026052918
2015-07-19,1,-9,-3,-11,-1,-6,-1,-6,1,-1,-2,1,-1,5,-3,-2,11,2,2,-4,-1,6,1,2,-3,0,1,0,18,-7,1,2,24,-2,3,3,-1,0,0,-1,2,-4,-2,11,-1,6,1,1,2,3,2,3,0,1,-2,1,3,-1,1,2,1,3,0,1,3,1,3,1,2,1,0,7,0,5,-3,4,-6,5,0,-4,5,0,-22,-1,1,-5,0,-3,26,-4,2,3,-3,-2,-1,1,0.00688236538816511
2015-07-26,-3,-6,-1,-1,0,3,2,-1,0,-4,-3,-2,4,2,0,-2,-8,-2,-1,0,2,-5,1,1,4,0,0,0,7,-1,-1,-2,-18,4,-1,1,0,2,-3,1,-3,8,-4,-11,-2,-3,-5,1,0,-1,-2,-2,-3,-2,2,-3,-3,6,-1,-3,-1,0,0,-5,-3,-3,-1,-2,0,-4,2,-16,-2,-2,-1,-6,-1,-4,-1,3,0,2,-2,1,1,0,-1,-4,-15,2,-2,-2,-3,-3,-3,-5,-0.0180523595962896
2015-08-02,-2,1,2,-1,-1,5,-3,1,-2,4,-2,-2,-9,-3,-4,-1,-1,-1,2,2,-1,7,-2,-2,-2,2,0,2,-3,3,1,-1,-9,-4,-1,-1,0,-3,12,0,2,0,3,-4,1,1,-4,-2,2,0,0,-3,1,1,-1,-2,0,-1,-4,2,0,2,0,1,2,2,-8,1,0,0,-2,-5,0,-4,-2,1,2,-1,2,0,-3,0,-4,1,3,4,-1,4,-18,-1,-2,-3,-1,-1,-8,-3,0.00596944097990715
2015-08-09,-3,-2,-1,1,0,-5,4,2,2,7,-6,0,-1,2,-2,-1,-2,1,2,-3,0,-10,2,3,3,1,-1,-4,-5,-4,-3,-3,-18,2,3,2,-1,4,-3,0,0,0,2,7,-2,-3,1,3,-2,-1,-1,0,2,0,1,2,-2,1,2,-2,0,0,1,-3,1,-4,3,-2,-1,-1,0,-1,0,-1,3,-1,-2,-2,1,-3,1,2,1,-1,3,2,2,-4,11,2,2,1,0,0,15,1,-0.0599906333190496
2015-08-16,4,1,0,1,-1,-2,7,6,4,10,13,3,0,-5,2,1,6,-2,-1,0,0,-1,1,0,10,0,-1,1,4,0,-3,1,-3,11,-5,-1,3,2,-4,0,9,-1,0,-6,1,-3,-1,-3,0,2,1,-4,3,1,3,2,2,1,4,-1,3,1,-2,2,-5,-1,-4,-1,2,3,-1,1,-1,-6,4,-3,0,-3,-2,5,-4,-1,0,-2,8,-3,6,10,0,-5,-4,-2,-2,-3,-11,-1,0.0110722875994416
2015-08-23,2,5,17,3,1,1,73,19,36,23,8,5,-1,5,4,-3,46,15,2,3,-1,14,26,3,7,1,4,-1,-3,2,-2,-1,-1,73,6,-3,23,4,1,0,8,3,15,7,0,2,3,7,-3,6,1,1,7,3,28,11,0,-2,4,-4,4,0,0,-5,-1,14,1,-1,-1,4,1,0,-1,-5,-3,-2,1,-1,1,7,-6,-1,-3,1,13,-4,6,29,-4,0,-2,-3,0,-8,7,3,-0.0330232145114948
2015-08-30,-4,6,8,20,0,2,-51,2,-31,14,-7,-4,7,-7,7,3,-42,-4,1,1,2,-6,-21,-6,9,-3,1,-1,9,8,2,-1,3,-66,3,-11,-20,0,6,-5,16,3,11,8,1,-4,-1,5,2,8,-1,0,4,1,-22,-15,4,2,0,-1,4,1,0,-2,1,11,0,2,3,-6,0,-2,7,3,2,-1,-1,-1,4,-10,-2,-1,0,-1,27,-1,10,-23,3,0,-1,-1,5,0,8,-8,0.0203298955894642
2015-09-06,-4,2,7,13,-2,-11,-17,1,-11,-7,-4,-4,1,-1,-4,2,-14,3,0,14,-1,-7,-14,3,7,-4,-4,2,-17,-7,-6,0,-4,-10,-12,-4,-6,-1,-8,1,-2,-3,-8,-1,-5,1,-2,-1,0,5,0,-2,8,0,-4,2,5,-9,-2,1,2,-3,-2,7,3,4,-3,2,-8,-5,-1,3,-2,0,-1,-3,0,-3,0,-5,1,-6,3,2,21,2,4,3,4,-1,1,-1,-1,5,4,2,-0.00295632209391528
2015-09-13,6,6,12,-5,0,2,0,9,3,8,13,-2,6,1,10,6,6,14,4,7,5,6,6,2,8,0,37,3,-3,9,1,-2,6,-2,10,3,1,7,-2,-4,13,0,5,7,1,-1,1,5,0,3,0,3,-8,1,-8,-1,1,2,0,-1,4,2,-2,-1,0,5,0,-1,7,-2,0,-1,-3,-4,5,1,4,-2,1,1,-3,4,-2,-1,-82,1,7,-5,-11,-2,-4,0,-2,-5,4,1,-0.00427595510713807
2015-09-20,4,1,17,-3,-1,1,-3,-1,0,-3,7,3,4,8,-2,-3,0,1,-1,-10,-4,5,0,-5,1,-2,-34,-1,1,1,-3,6,-3,-1,-3,-2,2,-3,1,1,-3,42,-5,-2,1,0,1,-3,1,3,0,2,-1,3,3,1,-2,-3,0,3,0,-3,-2,-5,-2,-3,1,1,0,3,1,0,0,-1,4,0,0,2,3,-1,0,3,1,2,-1,-1,16,-5,0,-1,2,1,1,-3,-7,0,0.00961968141107228
2015-09-27,-2,2,11,-7,1,3,-2,1,1,-2,-15,1,1,-2,2,3,3,-1,-1,4,-3,-2,0,4,6,4,-2,-1,18,8,5,0,4,1,0,1,-2,0,2,-1,0,-34,1,7,-1,-2,-1,4,-1,-3,0,-2,-2,0,-4,-1,0,2,4,-2,-1,1,2,1,1,-2,0,-2,1,-5,-2,1,-1,8,11,-2,-1,1,-2,3,-3,-3,-2,-1,0,-1,-8,4,30,3,1,-7,2,2,6,3,0.0364866683864271
2015-10-04,6,-3,-5,0,0,-3,-6,-4,-2,-1,-2,0,-7,0,1,1,-7,-2,-1,1,2,-2,0,0,-5,-1,-2,-1,-5,4,0,-2,0,-2,-5,-1,2,0,3,1,-2,0,-5,-9,-2,-1,1,-2,0,4,0,-1,-2,0,5,-3,1,1,-2,1,0,0,0,-3,-2,2,-3,4,2,5,3,-3,-1,-7,0,-1,1,-2,-2,-2,2,1,1,1,0,-4,-10,0,-17,-1,0,5,-1,3,4,-1,0.00766643417489909
