"Week","investment","growth","derivatives","crisis","unemployment","banking","dow","economy","stocks","economics","hedge","invest","profit","leverage","risk","revenue","nasdaq","metals","politics","consumption","cash","dividend","finance","portfolio","conflict","oil","fed","gain","short","energy","credit","loss","earnings","stock","transaction","housing","nyse","success","bubble","trader","environment","greed","opportunity","inflation","money","sell","returns","society","chance","present","world","rich","war","return","markets","crash","freedom","office","headlines","house","culture","arts","buy","ore","food","bonds","tourism","holiday","health","train","fine","gold","marriage","water","cancer","car","debt","travel","happy","forex","restaurant","default","ring","lifestyle","labor","fond","religion","financial","rare","home","kitchen","garden","fun","movie","consume","gains"
2015-12-27,58,61,16,39,37,84,13,40,44,36,68,35,63,45,54,33,31,45,15,45,51,62,52,54,27,78,44,43,68,59,91,85,23,15,46,67,15,39,84,68,29,53,47,58,81,88,65,65,24,35,19,48,38,65,44,22,48,79,44,78,15,30,64,68,74,52,55,52,64,68,50,58,20,64,56,77,26,66,100,57,94,52,80,33,12,65,49,11,3,88,84,78,73,100,60,49
2016-01-03,82,78,36,50,45,89,36,72,63,73,65,48,77,62,71,44,50,70,18,57,52,72,71,71,65,90,53,47,79,80,88,90,30,37,62,87,18,52,80,78,65,70,70,70,87,89,71,70,25,49,18,53,45,67,53,22,54,96,46,76,23,39,54,66,73,80,57,24,83,57,48,54,20,68,64,77,35,71,46,69,79,52,71,35,16,60,60,26,11,81,78,66,66,71,74,51
2016-01-10,80,76,42,55,48,81,38,85,60,83,87,42,79,60,70,49,56,72,22,59,59,72,71,72,68,88,51,48,89,82,83,81,39,37,61,84,18,55,79,73,72,77,76,72,88,89,64,70,31,55,18,50,44,63,56,24,54,89,46,76,25,40,51,66,70,88,63,22,82,54,49,50,19,68,100,78,40,69,44,66,80,51,67,37,16,60,65,35,5,76,76,65,66,69,70,49
2016-01-17,79,77,49,85,45,76,41,87,65,84,72,38,82,63,75,50,50,71,24,58,51,75,70,76,66,97,50,50,67,83,81,83,47,41,63,85,18,55,78,79,76,65,81,66,81,86,74,70,26,52,18,50,45,68,63,26,55,87,48,75,26,39,45,63,72,81,56,24,82,55,51,52,21,77,71,77,37,73,44,80,82,54,74,34,16,60,66,41,11,80,80,67,69,70,72,56
2016-01-24,86,89,53,74,45,78,32,87,58,94,69,42,98,69,88,61,55,70,28,65,51,85,72,78,79,89,57,50,80,84,85,85,76,26,68,90,15,57,79,75,87,69,93,71,83,85,79,73,25,62,18,51,45,82,58,22,56,90,50,73,29,39,45,65,72,90,58,18,90,58,54,54,20,76,68,80,41,71,45,72,83,57,78,37,16,63,66,34,5,76,76,66,71,65,84,61
2016-01-31,88,89,63,70,43,82,27,95,59,96,80,41,100,72,86,67,53,73,35,69,50,87,73,79,77,88,51,52,82,85,84,81,65,23,68,88,15,57,80,75,86,72,93,74,82,82,81,78,25,63,18,52,49,100,55,23,59,88,43,78,31,39,45,62,73,90,61,19,85,54,100,54,21,76,74,78,45,69,46,76,81,54,75,36,16,66,69,39,5,75,78,66,69,63,85,60
2016-02-07,84,87,64,72,40,78,32,92,58,91,75,39,91,57,89,68,56,74,36,71,49,84,72,76,75,89,53,48,83,86,85,83,54,28,68,85,16,57,80,73,82,63,85,79,82,82,69,73,25,64,19,47,49,79,55,23,56,85,46,76,30,39,49,64,71,94,61,23,77,52,56,56,20,71,66,83,43,68,50,69,85,53,76,33,16,62,70,44,18,73,76,72,69,65,88,58
2016-02-14,86,85,64,66,38,75,25,86,53,85,73,39,92,56,89,68,43,67,35,70,49,73,68,75,75,91,49,49,88,85,83,86,47,24,69,84,14,54,77,76,78,54,79,81,79,83,61,73,31,63,18,48,47,70,56,24,71,84,44,80,29,39,49,59,73,90,62,25,79,53,51,53,22,74,69,85,85,68,65,64,90,52,74,35,15,62,67,30,8,76,81,81,75,72,90,61
2016-02-21,92,88,69,68,37,76,23,91,53,93,71,41,92,69,92,70,44,72,43,69,51,82,68,77,82,88,50,54,76,88,83,86,48,21,71,90,12,59,78,77,87,94,83,88,79,84,73,79,28,65,19,49,51,72,55,24,59,86,46,98,31,41,47,57,75,93,64,19,81,53,52,54,21,76,72,86,54,72,45,78,84,56,66,36,17,62,71,38,13,75,81,78,73,62,100,61
2016-02-28,88,93,64,67,36,83,22,93,55,88,76,40,87,51,96,67,43,70,55,70,49,88,66,77,85,84,51,52,69,90,84,86,39,20,75,91,13,57,80,71,93,78,80,80,78,81,69,77,26,64,18,49,49,69,54,25,56,85,46,100,30,41,45,63,73,91,67,19,81,54,48,55,21,74,72,86,44,71,44,69,80,53,64,37,17,61,67,23,8,77,77,81,72,62,94,62
2016-03-06,84,89,53,71,34,73,22,92,54,84,74,38,86,63,91,65,43,70,53,65,46,86,66,73,79,87,49,53,67,85,80,87,35,19,72,88,13,53,84,74,83,62,74,80,75,81,60,75,25,59,18,50,62,63,51,22,54,83,47,91,30,41,46,63,74,88,69,20,78,57,50,54,20,77,70,84,41,71,47,74,82,54,66,36,16,77,68,24,13,79,77,85,74,56,97,63
